rule_id,policy_name,publish_time,effective_start,effective_end,rule_type,scope,state_name,state_value,source_file,note
rule_019,2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知,2025-10-17,2025-10-17,,renewable_mechanism,湖南省售电周度持仓实验,renewable_mechanism_active,1.0,/Users/dk/py/elec/政策环境/2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知.docx,新能源机制电价制度进入执行准备或实施阶段。
rule_020,2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知,2025-10-17,2025-10-17,,renewable_mechanism,湖南省售电周度持仓实验,mechanism_stage_label,竞价实施,/Users/dk/py/elec/政策环境/2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知.docx,新能源机制电价阶段标签。
rule_021,2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知,2025-10-29,2025-10-29,,renewable_mechanism,湖南省售电周度持仓实验,renewable_mechanism_active,1.0,/Users/dk/py/elec/政策环境/2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知.docx,新能源机制电价制度进入执行准备或实施阶段。
rule_022,2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知,2025-10-29,2025-10-29,,renewable_mechanism,湖南省售电周度持仓实验,mechanism_stage_label,竞价实施,/Users/dk/py/elec/政策环境/2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知.docx,新能源机制电价阶段标签。
rule_023,2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知,2025-11-05,2025-11-05,,renewable_mechanism,湖南省售电周度持仓实验,renewable_mechanism_active,1.0,/Users/dk/py/elec/政策环境/2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知.docx,新能源机制电价制度进入执行准备或实施阶段。
rule_024,2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知,2025-11-05,2025-11-05,,renewable_mechanism,湖南省售电周度持仓实验,mechanism_stage_label,竞价实施,/Users/dk/py/elec/政策环境/2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知.docx,新能源机制电价阶段标签。
rule_030,湖南省2025年度新能源增量项目机制电价竞价结果公布表,2025-12-25,2025-12-25,,renewable_mechanism,湖南省新能源增量项目,mechanism_price_floor,0.375,/Users/dk/py/elec/政策环境/2025.12.25 湖南省2025年度新能源增量项目机制电价竞价结果公布表.xlsx,机制电价下限代理取竞价结果最小值。
rule_031,湖南省2025年度新能源增量项目机制电价竞价结果公布表,2025-12-25,2025-12-25,,renewable_mechanism,湖南省新能源增量项目,mechanism_price_ceiling,0.375,/Users/dk/py/elec/政策环境/2025.12.25 湖南省2025年度新能源增量项目机制电价竞价结果公布表.xlsx,机制电价上限代理取竞价结果最大值。
rule_032,湖南省2025年度新能源增量项目机制电价竞价结果公布表,2025-12-25,2025-12-25,,renewable_mechanism,湖南省新能源增量项目,mechanism_volume_ratio_max,0.8,/Users/dk/py/elec/政策环境/2025.12.25 湖南省2025年度新能源增量项目机制电价竞价结果公布表.xlsx,机制电量比例上限取公布结果最大值。
rule_033,湖南省2025年度新能源增量项目机制电价竞价结果公布表,2025-12-25,2025-12-25,,renewable_mechanism,湖南省新能源增量项目,mechanism_exec_term_years,10.0,/Users/dk/py/elec/政策环境/2025.12.25 湖南省2025年度新能源增量项目机制电价竞价结果公布表.xlsx,机制电价执行期限取公布结果最大值。
rule_027,2026.01 关于完善2026年度电力中长期交易价格机制的通知,2025-12-31,2026-02-01,,lt_price_linkage,湖南省售电周度持仓实验,lt_price_linked_active,1.0,/Users/dk/py/elec/政策环境/2026.01 关于完善2026年度电力中长期交易价格机制的通知.docx,2026年2月起中长期价格与现货价格挂钩联动。
rule_028,2026.01 关于完善2026年度电力中长期交易价格机制的通知,2025-12-31,2026-02-01,,lt_price_linkage,湖南省售电周度持仓实验,fixed_price_ratio_max,0.4,/Users/dk/py/elec/政策环境/2026.01 关于完善2026年度电力中长期交易价格机制的通知.docx,固定价占比上限 40%。
rule_029,2026.01 关于完善2026年度电力中长期交易价格机制的通知,2025-12-31,2026-02-01,,lt_price_linkage,湖南省售电周度持仓实验,linked_price_ratio_min,0.6,/Users/dk/py/elec/政策环境/2026.01 关于完善2026年度电力中长期交易价格机制的通知.docx,联动价占比下限 60%。
