week_start,risk_factor_id,risk_factor_name,factor_category,factor_value,direction,source_fields,formula_note,policy_state_dependency
2026-02-16,spot_price_volatility,现货价格波动,spot_price_volatility,142.89224500512015,higher_is_riskier,"da_price_std,id_price_std,spread_std","mean(da_price_std, id_price_std, spread_std)","policy_projection_active,renewable_mechanism_active,lt_price_linked_active,info_disclosure_active,forward_price_linkage_days,forward_price_linkage_code,forward_price_linkage_in_window,forward_price_linkage_type,forward_mechanism_execution_days,forward_mechanism_execution_code,forward_mechanism_execution_in_window,forward_mechanism_execution_type,forward_ancillary_coupling_days,forward_ancillary_coupling_code,forward_ancillary_coupling_in_window,forward_ancillary_coupling_type,forward_info_forecast_boundary_days,forward_info_forecast_boundary_code,forward_info_forecast_boundary_in_window,forward_info_forecast_boundary_type"
2026-02-16,da_id_cross_correlation,日前-实时价格跨期相关,cross_market_correlation,0.8101691745199875,higher_is_riskier,da_id_cross_corr_w,abs(da_id_cross_corr_w),"policy_projection_active,renewable_mechanism_active,lt_price_linked_active,info_disclosure_active,forward_price_linkage_days,forward_price_linkage_code,forward_price_linkage_in_window,forward_price_linkage_type,forward_mechanism_execution_days,forward_mechanism_execution_code,forward_mechanism_execution_in_window,forward_mechanism_execution_type,forward_ancillary_coupling_days,forward_ancillary_coupling_code,forward_ancillary_coupling_in_window,forward_ancillary_coupling_type,forward_info_forecast_boundary_days,forward_info_forecast_boundary_code,forward_info_forecast_boundary_in_window,forward_info_forecast_boundary_type"
2026-02-16,load_forecast_bias,负荷预测偏差,load_forecast_bias,0.0038562414424780683,higher_is_riskier,"forecast_weekly_net_demand_mwh,actual_weekly_net_demand_mwh",abs(actual - forecast) / forecast,"policy_projection_active,renewable_mechanism_active,lt_price_linked_active,info_disclosure_active,forward_price_linkage_days,forward_price_linkage_code,forward_price_linkage_in_window,forward_price_linkage_type,forward_mechanism_execution_days,forward_mechanism_execution_code,forward_mechanism_execution_in_window,forward_mechanism_execution_type,forward_ancillary_coupling_days,forward_ancillary_coupling_code,forward_ancillary_coupling_in_window,forward_ancillary_coupling_type,forward_info_forecast_boundary_days,forward_info_forecast_boundary_code,forward_info_forecast_boundary_in_window,forward_info_forecast_boundary_type"
2026-02-16,renewable_output_volatility,新能源出力波动,renewable_output_volatility,1017.4003596706414,higher_is_riskier,"renewable_dev_std,prev_renewable_ratio_da_mean",0.7 * renewable_dev_std + 0.3 * abs(prev_renewable_ratio_da_mean),"policy_projection_active,renewable_mechanism_active,lt_price_linked_active,info_disclosure_active,forward_price_linkage_days,forward_price_linkage_code,forward_price_linkage_in_window,forward_price_linkage_type,forward_mechanism_execution_days,forward_mechanism_execution_code,forward_mechanism_execution_in_window,forward_mechanism_execution_type,forward_ancillary_coupling_days,forward_ancillary_coupling_code,forward_ancillary_coupling_in_window,forward_ancillary_coupling_type,forward_info_forecast_boundary_days,forward_info_forecast_boundary_code,forward_info_forecast_boundary_in_window,forward_info_forecast_boundary_type"
2026-02-16,extreme_event_or_policy_disturbance,极端事件或制度扰动,extreme_event_or_policy_disturbance,0.0,higher_is_riskier,"extreme_event_flag_w,extreme_price_spike_flag_w",extreme_event_flag_w + extreme_price_spike_flag_w,"policy_projection_active,renewable_mechanism_active,lt_price_linked_active,info_disclosure_active,forward_price_linkage_days,forward_price_linkage_code,forward_price_linkage_in_window,forward_price_linkage_type,forward_mechanism_execution_days,forward_mechanism_execution_code,forward_mechanism_execution_in_window,forward_mechanism_execution_type,forward_ancillary_coupling_days,forward_ancillary_coupling_code,forward_ancillary_coupling_in_window,forward_ancillary_coupling_type,forward_info_forecast_boundary_days,forward_info_forecast_boundary_code,forward_info_forecast_boundary_in_window,forward_info_forecast_boundary_type"
2026-02-23,spot_price_volatility,现货价格波动,spot_price_volatility,170.53822499883205,higher_is_riskier,"da_price_std,id_price_std,spread_std","mean(da_price_std, id_price_std, spread_std)","policy_projection_active,renewable_mechanism_active,lt_price_linked_active,info_disclosure_active,forward_price_linkage_days,forward_price_linkage_code,forward_price_linkage_in_window,forward_price_linkage_type,forward_mechanism_execution_days,forward_mechanism_execution_code,forward_mechanism_execution_in_window,forward_mechanism_execution_type,forward_ancillary_coupling_days,forward_ancillary_coupling_code,forward_ancillary_coupling_in_window,forward_ancillary_coupling_type,forward_info_forecast_boundary_days,forward_info_forecast_boundary_code,forward_info_forecast_boundary_in_window,forward_info_forecast_boundary_type"
2026-02-23,da_id_cross_correlation,日前-实时价格跨期相关,cross_market_correlation,0.6654603957188289,higher_is_riskier,da_id_cross_corr_w,abs(da_id_cross_corr_w),"policy_projection_active,renewable_mechanism_active,lt_price_linked_active,info_disclosure_active,forward_price_linkage_days,forward_price_linkage_code,forward_price_linkage_in_window,forward_price_linkage_type,forward_mechanism_execution_days,forward_mechanism_execution_code,forward_mechanism_execution_in_window,forward_mechanism_execution_type,forward_ancillary_coupling_days,forward_ancillary_coupling_code,forward_ancillary_coupling_in_window,forward_ancillary_coupling_type,forward_info_forecast_boundary_days,forward_info_forecast_boundary_code,forward_info_forecast_boundary_in_window,forward_info_forecast_boundary_type"
2026-02-23,load_forecast_bias,负荷预测偏差,load_forecast_bias,0.023433731775954956,higher_is_riskier,"forecast_weekly_net_demand_mwh,actual_weekly_net_demand_mwh",abs(actual - forecast) / forecast,"policy_projection_active,renewable_mechanism_active,lt_price_linked_active,info_disclosure_active,forward_price_linkage_days,forward_price_linkage_code,forward_price_linkage_in_window,forward_price_linkage_type,forward_mechanism_execution_days,forward_mechanism_execution_code,forward_mechanism_execution_in_window,forward_mechanism_execution_type,forward_ancillary_coupling_days,forward_ancillary_coupling_code,forward_ancillary_coupling_in_window,forward_ancillary_coupling_type,forward_info_forecast_boundary_days,forward_info_forecast_boundary_code,forward_info_forecast_boundary_in_window,forward_info_forecast_boundary_type"
2026-02-23,renewable_output_volatility,新能源出力波动,renewable_output_volatility,700.9649698254018,higher_is_riskier,"renewable_dev_std,prev_renewable_ratio_da_mean",0.7 * renewable_dev_std + 0.3 * abs(prev_renewable_ratio_da_mean),"policy_projection_active,renewable_mechanism_active,lt_price_linked_active,info_disclosure_active,forward_price_linkage_days,forward_price_linkage_code,forward_price_linkage_in_window,forward_price_linkage_type,forward_mechanism_execution_days,forward_mechanism_execution_code,forward_mechanism_execution_in_window,forward_mechanism_execution_type,forward_ancillary_coupling_days,forward_ancillary_coupling_code,forward_ancillary_coupling_in_window,forward_ancillary_coupling_type,forward_info_forecast_boundary_days,forward_info_forecast_boundary_code,forward_info_forecast_boundary_in_window,forward_info_forecast_boundary_type"
2026-02-23,extreme_event_or_policy_disturbance,极端事件或制度扰动,extreme_event_or_policy_disturbance,0.0,higher_is_riskier,"extreme_event_flag_w,extreme_price_spike_flag_w",extreme_event_flag_w + extreme_price_spike_flag_w,"policy_projection_active,renewable_mechanism_active,lt_price_linked_active,info_disclosure_active,forward_price_linkage_days,forward_price_linkage_code,forward_price_linkage_in_window,forward_price_linkage_type,forward_mechanism_execution_days,forward_mechanism_execution_code,forward_mechanism_execution_in_window,forward_mechanism_execution_type,forward_ancillary_coupling_days,forward_ancillary_coupling_code,forward_ancillary_coupling_in_window,forward_ancillary_coupling_type,forward_info_forecast_boundary_days,forward_info_forecast_boundary_code,forward_info_forecast_boundary_in_window,forward_info_forecast_boundary_type"
