document_id,unit_id,source_file,file_name,unit_type,heading_path,paragraph_index,table_index,text,raw_value
doc_0017,unit_0017,d:\elec\政策环境\2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知.docx,2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知.docx,rule_note,renewable_mechanism,16,,新能源机制电价制度进入竞价准备阶段。,竞价准备
doc_0018,unit_0018,d:\elec\政策环境\2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知.docx,2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知.docx,rule_note,renewable_mechanism,17,,新能源机制电价制度进入竞价准备阶段。,竞价准备
doc_0019,unit_0019,d:\elec\政策环境\2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知.docx,2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知.docx,rule_note,renewable_mechanism,18,,新能源机制电价制度进入竞价准备阶段。,竞价准备
doc_0020,unit_0020,d:\elec\政策环境\2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知.docx,2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知.docx,rule_note,renewable_mechanism,19,,新能源机制电价制度自 2026-01-01 起进入执行阶段。,1.0
doc_0021,unit_0021,d:\elec\政策环境\2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知.docx,2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知.docx,rule_note,renewable_mechanism,20,,新能源机制电价制度执行阶段标签。,执行期
doc_0022,unit_0022,d:\elec\政策环境\2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知.docx,2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知.docx,rule_note,renewable_mechanism,21,,新能源机制电价制度自 2026-01-01 起进入执行阶段。,1.0
doc_0023,unit_0023,d:\elec\政策环境\2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知.docx,2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知.docx,rule_note,renewable_mechanism,22,,新能源机制电价制度执行阶段标签。,执行期
doc_0024,unit_0024,d:\elec\政策环境\2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知.docx,2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知.docx,rule_note,renewable_mechanism,23,,新能源机制电价制度自 2026-01-01 起进入执行阶段。,1.0
doc_0025,unit_0025,d:\elec\政策环境\2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知.docx,2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知.docx,rule_note,renewable_mechanism,24,,新能源机制电价制度执行阶段标签。,执行期
doc_0026,unit_0026,d:\elec\政策环境\2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知.docx,2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知.docx,rule_note,renewable_mechanism,25,,新能源机制电价制度自 2026-01-01 起进入执行阶段。,1.0
doc_0027,unit_0027,d:\elec\政策环境\2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知.docx,2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知.docx,rule_note,renewable_mechanism,26,,新能源机制电价制度执行阶段标签。,执行期
doc_0028,unit_0028,d:\elec\政策环境\2025.12.25 湖南省2025年度新能源增量项目机制电价竞价结果公布表.xlsx,2025.12.25 湖南省2025年度新能源增量项目机制电价竞价结果公布表.xlsx,rule_note,renewable_mechanism,27,,机制电价下限代理取竞价结果最小值。,0.375
doc_0029,unit_0029,d:\elec\政策环境\2025.12.25 湖南省2025年度新能源增量项目机制电价竞价结果公布表.xlsx,2025.12.25 湖南省2025年度新能源增量项目机制电价竞价结果公布表.xlsx,rule_note,renewable_mechanism,28,,机制电价上限代理取竞价结果最大值。,0.375
doc_0030,unit_0030,d:\elec\政策环境\2025.12.25 湖南省2025年度新能源增量项目机制电价竞价结果公布表.xlsx,2025.12.25 湖南省2025年度新能源增量项目机制电价竞价结果公布表.xlsx,rule_note,renewable_mechanism,29,,机制电量比例上限取公布结果最大值。,0.8
doc_0031,unit_0031,d:\elec\政策环境\2025.12.25 湖南省2025年度新能源增量项目机制电价竞价结果公布表.xlsx,2025.12.25 湖南省2025年度新能源增量项目机制电价竞价结果公布表.xlsx,rule_note,renewable_mechanism,30,,机制电价执行期限取公布结果最大值。,10.0
doc_0032,unit_0032,d:\elec\政策环境\2026.01 关于完善2026年度电力中长期交易价格机制的通知.docx,2026.01 关于完善2026年度电力中长期交易价格机制的通知.docx,rule_note,lt_price_linkage,31,,2026-02 起年度多月交易进入固定价与联动价组合口径。,1.0
doc_0033,unit_0033,d:\elec\政策环境\2026.01 关于完善2026年度电力中长期交易价格机制的通知.docx,2026.01 关于完善2026年度电力中长期交易价格机制的通知.docx,rule_note,lt_price_linkage,32,,固定价比例上限 40%。,0.4
doc_0034,unit_0034,d:\elec\政策环境\2026.01 关于完善2026年度电力中长期交易价格机制的通知.docx,2026.01 关于完善2026年度电力中长期交易价格机制的通知.docx,rule_note,lt_price_linkage,33,,联动价比例下限 60%。,0.6
